Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/junit/validator/ValidateWith,true,0,37,true,0,true
org/junit/validator/TestClassValidator,true,2,12,true,0,true
org/junit/validator/AnnotationValidatorFactory,true,14,365,true,0,true
org/junit/validator/AnnotationsValidator,true,242,1066,false,NA,false
org/junit/validator/AnnotationValidator,true,19,118,true,0,true
org/junit/validator/PublicClassValidator,true,11,135,true,0,true
org/junit/runners/Parameterized,true,166,1696,true,2,true
org/junit/runners/BlockJUnit4ClassRunner,true,300,3403,true,4,true
org/junit/runners/package-info,true,NA,NA,false,NA,false
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParameters,true,132,1709,true,8,true
org/junit/runners/parameterized/ParametersRunnerFactory,true,3,12,true,0,true
org/junit/runners/parameterized/TestWithParameters,true,62,869,true,7,true
org/junit/runners/parameterized/BlockJUnit4ClassRunnerWithParametersFactory,true,3,42,true,0,true
org/junit/runners/ParentRunner,true,385,3497,false,NA,false
org/junit/runners/Suite,true,43,975,true,0,true
org/junit/runners/JUnit4,true,1,47,true,0,true
org/junit/runners/AllTests,true,1,47,true,0,true
org/junit/runners/model/FrameworkMember,true,12,213,true,0,true
org/junit/runners/model/NoGenericTypeParametersValidator,true,183,696,true,78,true
org/junit/runners/model/Annotatable,true,1,24,true,0,true
org/junit/runners/model/TestTimedOutException,true,8,188,true,0,true
org/junit/runners/model/InitializationError,true,6,181,true,0,true
org/junit/runners/model/FrameworkMethod,true,114,1773,true,10,true
org/junit/runners/model/FrameworkField,true,38,511,true,0,true
org/junit/runners/model/Statement,true,0,20,true,0,true
org/junit/runners/model/MultipleFailureException,true,15,480,true,0,true
org/junit/runners/model/TestClass,true,277,4288,false,NA,false
org/junit/runners/model/RunnerScheduler,true,1,14,true,0,true
org/junit/runners/model/RunnerBuilder,true,48,825,true,0,true
org/junit/runners/MethodSorters,true,4,179,true,0,true
org/junit/AssumptionViolatedException,true,12,163,true,0,true
org/junit/rules/TemporaryFolder,true,110,1169,true,26,true
org/junit/rules/TestName,true,8,90,true,0,true
org/junit/rules/Stopwatch,true,95,948,false,NA,false
org/junit/rules/MethodRule,true,6,17,true,0,true
org/junit/rules/ExpectedException,true,153,885,false,NA,false
org/junit/rules/DisableOnDebug,true,31,346,true,0,true
org/junit/rules/ErrorCollector,true,41,385,true,0,true
org/junit/rules/RunRules,true,18,206,true,0,true
org/junit/rules/TestWatchman,true,34,266,true,0,false
org/junit/rules/TestWatcher,true,99,985,true,0,false
org/junit/rules/ExpectedExceptionMatcherBuilder,true,45,532,true,0,false
org/junit/rules/RuleChain,true,22,350,false,NA,false
org/junit/rules/ExternalResource,true,19,158,true,0,false
org/junit/rules/TestRule,true,5,13,true,0,true
org/junit/rules/Verifier,true,7,96,true,0,true
org/junit/rules/Timeout,true,96,982,false,NA,false
org/junit/Rule,true,0,57,true,0,true
org/junit/runner/Result,true,180,2220,false,NA,false
org/junit/runner/Describable,true,0,5,true,0,true
org/junit/runner/package-info,true,NA,NA,false,NA,false
org/junit/runner/FilterFactories,true,23,599,true,0,true
org/junit/runner/Request,true,20,679,false,NA,false
org/junit/runner/Computer,true,10,236,true,0,true
org/junit/runner/JUnitCore,true,85,1020,true,3,true
org/junit/runner/Description,true,243,2368,true,23,true
org/junit/runner/FilterFactoryParams,true,8,161,true,0,true
org/junit/runner/RunWith,true,4,56,true,0,true
org/junit/runner/JUnitCommandLineParseResult,true,146,1731,true,38,true
org/junit/runner/notification/Failure,true,34,343,true,1,true
org/junit/runner/notification/package-info,true,NA,NA,false,NA,false
org/junit/runner/notification/StoppedByUserException,true,0,22,true,0,true
org/junit/runner/notification/SynchronizedRunListener,true,78,752,false,NA,false
org/junit/runner/notification/RunListener,true,16,139,true,0,true
org/junit/runner/notification/RunNotifier,true,249,1625,false,NA,false
org/junit/runner/Runner,true,5,59,true,0,true
org/junit/runner/manipulation/Filterable,true,1,12,true,0,true
org/junit/runner/manipulation/package-info,true,NA,NA,false,NA,false
org/junit/runner/manipulation/Filter,true,35,617,true,0,true
org/junit/runner/manipulation/Sortable,true,1,9,true,0,true
org/junit/runner/manipulation/NoTestsRemainException,true,0,22,true,0,true
org/junit/runner/manipulation/Sorter,true,27,251,true,0,true
org/junit/runner/FilterFactory,true,3,57,true,0,true
org/junit/package-info,true,NA,NA,false,NA,false
org/junit/Assert,true,368,4910,true,42,true
org/junit/internal/runners/SuiteMethod,true,11,280,true,1,true
org/junit/internal/runners/rules/ValidationError,true,4,113,true,0,true
org/junit/internal/runners/rules/RuleMemberValidator,true,184,2845,false,NA,false
org/junit/internal/runners/statements/ExpectException,true,18,428,true,0,true
org/junit/internal/runners/statements/RunBefores,true,18,217,true,0,true
org/junit/internal/runners/statements/Fail,true,7,80,true,0,true
org/junit/internal/runners/statements/InvokeMethod,true,12,136,true,0,true
org/junit/internal/runners/statements/FailOnTimeout,true,228,2442,false,NA,false
org/junit/internal/runners/statements/RunAfters,true,44,326,true,69,false
org/junit/internal/runners/JUnit4ClassRunner,true,172,1621,true,0,true
org/junit/internal/runners/FailedBefore,true,0,29,true,0,true
org/junit/internal/runners/package-info,true,NA,NA,false,NA,false
org/junit/internal/runners/MethodValidator,true,86,1369,true,0,true
org/junit/internal/runners/ErrorReportingRunner,true,50,727,true,6,false
org/junit/internal/runners/InitializationError,true,8,197,true,0,true
org/junit/internal/runners/JUnit38ClassRunner,true,311,1968,false,NA,false
org/junit/internal/runners/ClassRoadie,true,59,620,true,5,true
org/junit/internal/runners/TestMethod,true,39,627,true,0,true
org/junit/internal/runners/MethodRoadie,true,168,1785,true,7,false
org/junit/internal/runners/TestClass,true,94,1384,true,22,true
org/junit/internal/runners/model/EachTestNotifier,true,52,436,true,10,false
org/junit/internal/runners/model/MultipleFailureException,true,1,50,true,0,true
org/junit/internal/runners/model/ReflectiveCallable,true,3,68,true,0,true
org/junit/internal/InexactComparisonCriteria,true,16,232,false,NA,false
org/junit/internal/AssumptionViolatedException,true,48,833,true,0,true
org/junit/internal/RealSystem,true,1,69,true,0,true
org/junit/internal/builders/JUnit4Builder,true,2,69,true,0,true
org/junit/internal/builders/IgnoredClassRunner,true,13,180,true,0,true
org/junit/internal/builders/NullBuilder,true,2,44,true,0,true
org/junit/internal/builders/IgnoredBuilder,true,2,117,true,0,true
org/junit/internal/builders/AllDefaultPossibilitiesBuilder,true,27,370,true,0,true
org/junit/internal/builders/AnnotatedBuilder,true,26,726,true,0,true
org/junit/internal/builders/SuiteMethodBuilder,true,8,185,true,0,true
org/junit/internal/builders/JUnit3Builder,true,6,169,true,0,true
org/junit/internal/requests/package-info,true,NA,NA,false,NA,false
org/junit/internal/requests/ClassRequest,true,33,358,true,0,true
org/junit/internal/requests/SortingRequest,true,13,178,true,0,true
org/junit/internal/requests/FilterRequest,true,25,275,true,0,true
org/junit/internal/JUnitSystem,true,1,21,true,0,true
org/junit/internal/matchers/ThrowableCauseMatcher,true,22,379,false,NA,false
org/junit/internal/matchers/TypeSafeMatcher,true,55,646,false,NA,false
org/junit/internal/matchers/ThrowableMessageMatcher,true,22,340,false,NA,false
org/junit/internal/matchers/StacktracePrintingMatcher,true,37,469,false,NA,false
org/junit/internal/ComparisonCriteria,true,72,777,true,4,true
org/junit/internal/Classes,true,1,87,true,0,true
