Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
org/apache/commons/codec/StringDecoder,true,0,15,true,0,NA
org/apache/commons/codec/DecoderException,true,5,103,true,0,true
org/apache/commons/codec/Decoder,true,0,12,true,0,NA
org/apache/commons/codec/StringEncoder,true,0,15,true,0,NA
org/apache/commons/codec/net/QCodec,true,162,2528,true,78,true
org/apache/commons/codec/net/QuotedPrintableCodec,true,176,2268,true,18,true
org/apache/commons/codec/net/RFC1522Codec,true,60,1204,true,0,true
org/apache/commons/codec/net/BCodec,true,133,994,true,32,true
org/apache/commons/codec/net/Utils,true,18,142,true,0,true
org/apache/commons/codec/net/URLCodec,true,174,2301,true,52,true
org/apache/commons/codec/CharEncoding,true,0,60,true,0,NA
org/apache/commons/codec/StringEncoderComparator,true,21,322,true,1,true
org/apache/commons/codec/language/Caverphone1,true,18,2156,true,1,true
org/apache/commons/codec/language/bm/BeiderMorseEncoder,true,75,820,true,0,true
org/apache/commons/codec/language/bm/Rule,true,1940,8598,false,NA,false
org/apache/commons/codec/language/bm/NameType,true,49,133,false,NA,false
org/apache/commons/codec/language/bm/RuleType,true,49,133,false,NA,false
org/apache/commons/codec/language/bm/Languages,true,602,2277,false,NA,false
org/apache/commons/codec/language/bm/Lang,true,429,1846,false,NA,false
org/apache/commons/codec/language/bm/PhoneticEngine,true,1174,5845,false,NA,false
org/apache/commons/codec/language/bm/ResourceConstants,true,3,52,true,0,NA
org/apache/commons/codec/language/Nysiis,true,80,2627,true,0,true
org/apache/commons/codec/language/AbstractCaverphone,true,8,175,true,0,true
org/apache/commons/codec/language/ColognePhonetic,true,866,3533,true,NA,false
org/apache/commons/codec/language/DoubleMetaphone,true,3572,16763,true,NA,false
org/apache/commons/codec/language/Caverphone2,true,18,2264,true,1,true
org/apache/commons/codec/language/Caverphone,true,29,275,true,1,NA
org/apache/commons/codec/language/SoundexUtils,true,9,623,true,0,true
org/apache/commons/codec/language/Soundex,true,79,1468,true,35,true
org/apache/commons/codec/language/MatchRatingApproachEncoder,true,330,3792,true,46,true
org/apache/commons/codec/language/RefinedSoundex,true,44,925,true,28,true
org/apache/commons/codec/language/Metaphone,true,221,4545,true,65,true
org/apache/commons/codec/Encoder,true,0,12,true,0,NA
org/apache/commons/codec/BinaryDecoder,true,0,21,true,0,NA
org/apache/commons/codec/EncoderException,true,5,103,true,0,true
org/apache/commons/codec/BinaryEncoder,true,0,21,true,0,NA
org/apache/commons/codec/Charsets,true,34,343,true,6,true
org/apache/commons/codec/digest/B64,true,16,353,true,0,true
org/apache/commons/codec/digest/HmacUtils,true,187,3372,true,96,true
org/apache/commons/codec/digest/Md5Crypt,true,121,2461,true,1,true
org/apache/commons/codec/digest/HmacAlgorithms,true,63,180,false,NA,false
org/apache/commons/codec/digest/Crypt,true,36,458,true,0,true
org/apache/commons/codec/digest/DigestUtils,true,197,2927,true,21,true
org/apache/commons/codec/digest/MessageDigestAlgorithms,true,2,60,true,0,NA
org/apache/commons/codec/digest/UnixCrypt,true,175,10756,true,0,true
org/apache/commons/codec/digest/Sha2Crypt,true,118,5675,true,0,true
org/apache/commons/codec/binary/CharSequenceUtils,true,9,378,true,8,NA
org/apache/commons/codec/binary/BaseNCodecOutputStream,true,48,1213,true,0,true
org/apache/commons/codec/binary/Base32OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64,true,335,7614,true,66,true
org/apache/commons/codec/binary/Hex,true,124,1826,true,41,true
org/apache/commons/codec/binary/BinaryCodec,true,84,2251,true,0,true
org/apache/commons/codec/binary/BaseNCodec,true,160,3581,true,21,true
org/apache/commons/codec/binary/Base32,true,482,9816,true,85,true
org/apache/commons/codec/binary/StringUtils,true,69,1244,true,29,true
org/apache/commons/codec/binary/Base64OutputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base64InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/Base32InputStream,true,7,167,true,0,true
org/apache/commons/codec/binary/BaseNCodecInputStream,true,113,1381,true,22,true
