Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
commons-collections/javac/org/apache/commons/collections4/keyvalue/DefaultKeyValue,true,40,873,true,0,true
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractKeyValue,true,36,440,true,2,true
commons-collections/javac/org/apache/commons/collections4/keyvalue/TiedMapEntry,true,58,955,true,0,true
commons-collections/javac/org/apache/commons/collections4/keyvalue/package-info,false,NA,NA,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/keyvalue/MultiKey,true,81,1100,false,NA,false
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractMapEntryDecorator,true,30,515,true,0,true
commons-collections/javac/org/apache/commons/collections4/keyvalue/UnmodifiableMapEntry,true,5,286,true,0,true
commons-collections/javac/org/apache/commons/collections4/keyvalue/AbstractMapEntry,true,33,674,true,0,true
commons-collections/javac/org/apache/commons/collections4/keyvalue/DefaultMapEntry,true,4,250,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/TransformedSortedSet,true,57,973,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/TransformedSet,true,13,485,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/CompositeSet,true,222,2981,false,NA,false
commons-collections/javac/org/apache/commons/collections4/set/AbstractSetDecorator,true,2,106,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/PredicatedSet,true,4,184,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/package-info,false,NA,NA,false,NA,NA
commons-collections/javac/org/apache/commons/collections4/set/MapBackedSet,true,111,1559,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/PredicatedSortedSet,true,41,625,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/AbstractSerializableSetDecorator,true,11,173,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/UnmodifiableSortedSet,true,46,719,true,0,true
commons-collections/javac/org/apache/commons/collections4/set/AbstractSortedSetDecorator,true,30,400,true,0,true
