Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
dctest/eclipse/org/program/transformation/Usa,true,61,376,true,0,true
dctest/eclipse/org/program/transformation/Lambda,true,17,343,false,NA,false
dctest/eclipse/org/program/transformation/Foo,true,0,104,true,0,true
dctest/eclipse/org/program/transformation/Casting,true,1,112,true,0,true
dctest/eclipse/org/program/transformation/Fibo,true,9,309,true,4,true
dctest/eclipse/org/program/transformation/TryFinally,true,212,447,false,NA,false
dctest/eclipse/org/program/transformation/sable/Circle,true,5,64,true,0,true
dctest/eclipse/org/program/transformation/sable/Drawable,true,0,5,true,0,true
dctest/eclipse/org/program/transformation/sable/Main,true,23,238,true,28,true
dctest/eclipse/org/program/transformation/sable/Rectangle,true,15,130,true,0,true
