Class,isDecompilable,distanceToOriginal,nbNodesOriginal,isRecompilable,bytecodeDistance,passTests
jsoup/eclipse/org/jsoup/helper/W3CDom,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/helper/DataUtil,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/helper/Validate,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/helper/HttpConnection,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/helper/StringUtil,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/helper/DescendableLinkedList,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/HttpStatusException,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/package-info,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/CombiningEvaluator,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/select/package-info,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/Evaluator,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/QueryParser,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/select/Collector,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/select/Elements,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/select/StructuralEvaluator,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/Selector,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/select/NodeVisitor,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/select/NodeTraversor,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/Connection,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/Jsoup,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/Tag,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/package-info,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/parser/TokenQueue,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/Tokeniser,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/Parser,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilder,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/XmlTreeBuilder,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseErrorList,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/CharacterReader,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/ParseError,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/TokeniserState,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/Token,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/TreeBuilder,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/parser/HtmlTreeBuilderState,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/safety/package-info,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/safety/Cleaner,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/safety/Whitelist,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Comment,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/FormElement,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Element,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/package-info,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/nodes/Entities,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/XmlDeclaration,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DataNode,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attributes,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/TextNode,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Node,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Document,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/Attribute,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/nodes/DocumentType,false,NA,NA,false,NA,false
jsoup/eclipse/org/jsoup/examples/package-info,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/examples/ListLinks,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/examples/HtmlToPlainText,false,NA,NA,false,NA,NA
jsoup/eclipse/org/jsoup/UnsupportedMimeTypeException,false,NA,NA,false,NA,NA
